Id,Country ,City ,Borough,Zipcode,Zone,On street,Cross street 1,Cross street 2,Community Board,Council District,Reservation Date,Franchisee Name ,Status,Pole Class,Latitude,Longitude,X Coord.,Y Coord.
9749,USA,New York,Manhattan,10001,A,10TH AVENUE,W27TH ST.,W26TH ST.,104,3,12/20/2013,Extenet II,Installed,CITY,40.7500964,-74.0022593,983624,212557
9748,USA,New York,Manhattan,10001,A,10TH AVENUE,W28TH ST.,W29TH ST.,104,3,12/20/2013,Extenet II,Installed,CITY,40.7508512,-74.0017108,983776,212832
9528,USA,New York,Manhattan,10001,A,West 34th Street,11th Avenue,Lincoln Highway/9A,104,3,8/9/2013,Crown Castle NG,Proposed,CITY,40.7560387,-74.0028298,983466,214722
8399,USA,New York,Manhattan,10001,A,W 35th St,Dyer Ave,9th Ave,104,3,2/25/2011,Crown Castle NG,Installed,CITY,40.7544303,-73.9968779,985115,214136
7524,USA,New York,Manhattan,10001,A,W 34th St,11th Ave,10th Ave,104,3,3/6/2010,Crown Castle NG,Installed,CITY,40.7555282,-74.0016134,983803,214536
7338,USA,New York,Manhattan,10001,A,8th Avenue,31st Street,30th Street,104,3,11/6/2009,Extenet II,Installed,CITY,40.7500249,-73.9951926,985582,212531
7322,USA,New York,Manhattan,10001,A,9th Avenue,34th Street,33rd Street,104,3,11/6/2009,Extenet II,Installed,CITY,40.7533516,-73.9965134,985216,213743
7264,USA,New York,Manhattan,10001,A,31st Street,Dyer Avenue,10th Avenue,104,3,11/6/2009,Extenet II,Installed,CITY,40.75224,-73.9996391,984350,213338
7262,USA,New York,Manhattan,10001,A,7th Avenue,25th Street,26h Street,104,3,11/6/2009,Extenet II,Installed,CITY,40.7454027,-73.9945614,985757,210847
2135,USA,New York,Manhattan,10001,A,11th Avenue,34th Street,33rd Street,104,3,6/16/2005,Extenet II,Installed,CITY,40.755627,-74.0019275,983716,214572
21337,USA,New York,Manhattan,10001,A,W 34th St,5th Ave,Broadway,105,4,6/25/2019,Crown Castle Solutions,Proposed,CITY,40.7486517,-73.9852749,988330,212031
21327,USA,New York,Manhattan,10001,A,5th Ave,W 33rd St,W 32nd St,105,4,6/25/2019,Crown Castle Solutions,Proposed,CITY,40.7475236,-73.9853726,988303,211620
16079,USA,New York,Manhattan,10001,A,5th Ave,E 35th St,E 34th St,105,4,12/2/2017,Crown Castle Solutions,Proposed,CITY,40.748841,-73.9844159,988568,212100
13497,USA,New York,Manhattan,10001,A,W 32nd St,5th Ave,Broadway,105,4,9/22/2016,Crown Castle NG,Installed,CITY,40.7476775,-73.9868848,987884,211676
13472,USA,New York,Manhattan,10001,A,W 30th St,5th Ave,Broadway,105,4,9/22/2016,Crown Castle NG,Installed,CITY,40.7462008,-73.9869428,987868,211138
13073,USA,New York,Manhattan,10001,A,W 34th St,6th Ave,5th Ave,105,4,8/25/2016,Crown Castle Solutions,Proposed,CITY,40.7494012,-73.9866318,987954,212304
12733,USA,New York,Manhattan,10001,A,W 30th St,Broadway,5th Ave,105,4,8/25/2016,Crown Castle Solutions,Installed,CITY,40.7464177,-73.9874155,987737,211217
11916,USA,New York,Manhattan,10001,A,5TH AVE,E29TH ST,E30 TH ST,105,4,5/7/2016,Extenet II,Installed,CITY,40.7454158,-73.9868888,987883,210852
11794,USA,New York,Manhattan,10001,A,5th Ave,E 31st St,E 32nd St,105,4,3/24/2016,Crown Castle Solutions,Installed,CITY,40.7465136,-73.9861055,988100,211252
11715,USA,New York,Manhattan,10001,A,W 34th St,6th Ave,5th Ave,105,4,3/24/2016,Crown Castle Solutions,Installed,CITY,40.749802,-73.9875737,987693,212450
10483,USA,New York,Manhattan,10001,A,W34TH ST.,5TH AVE.,6TH AVE.,105,4,10/10/2014,Extenet II,Installed,CITY,40.7489262,-73.9855167,988263,212131
10420,USA,New York,Manhattan,10001,A,W33RD ST.,5TH AVE.,BROADWAY,105,4,10/10/2014,Extenet II,Installed,CITY,40.7483856,-73.9863794,988024,211934
10416,USA,New York,Manhattan,10001,A,W32ND ST.,5TH AVE.,BROADWAY,105,4,10/10/2014,Extenet II,Installed,CITY,40.7474853,-73.9861558,988086,211606
10414,USA,New York,Manhattan,10001,A,W31ST ST.,BROADWAY,5TH AVE.,105,4,10/10/2014,Extenet II,Installed,CITY,40.747082,-73.9873613,987752,211459
10401,USA,New York,Manhattan,10001,A,5TH AVE.,E31ST ST.,E32ND ST.,105,4,10/10/2014,Extenet II,Installed,CITY,40.7466344,-73.9859863,988133,211296
7096,USA,New York,Manhattan,10001,A,32nd Street,Broadway,5th Avenue,105,4,11/6/2009,Extenet II,Installed,CITY,40.7480701,-73.9875091,987711,211819
21790,USA,New York,Manhattan,10002,A,Ludlow Street,Stanton Street,Rivington Street,103,1,7/18/2019,Mobilitie II,Proposed,CITY,40.7209657,-73.9878424,987620,201944
21783,USA,New York,Manhattan,10002,A,Allen Street,Canal Street,Hester Street,103,1,7/18/2019,Mobilitie II,Approved,CITY,40.7154463,-73.9920784,986446,199933
21350,USA,New York,Manhattan,10002,A,Forsyth St,Canal St,Division St,103,1,6/25/2019,Crown Castle Solutions,Approved,CITY,40.7150128,-73.9946504,985733,199775
18625,USA,New York,Manhattan,10002,A,Rivington Street,Clinton Street,Suffolk Street,103,1,1/18/2018,ZenFi,Installed,CITY,40.7191675,-73.9851299,988372,201289
18493,USA,New York,Manhattan,10002,A,Rutgers Street,Henry Street,Madison Street,103,1,1/18/2018,ZenFi,Installed,CITY,40.7133272,-73.9900298,987014,199161
18014,USA,New York,Manhattan,10002,A,E Broadway,Catherine St,Market St,103,1,12/29/2017,Extenet II,Approved,CITY,40.7134209,-73.9966958,985166,199195
17392,USA,New York,Manhattan,10002,A,South St,Pike Slip,Market Slip,103,1,12/12/2017,Crown Castle Fiber,Proposed,CITY,40.7098607,-73.9920935,986442,197898
17321,USA,New York,Manhattan,10002,A,Market Slip,Water St,Cherry St,103,1,12/12/2017,Crown Castle Fiber,Approved,CITY,40.7101985,-73.9939871,985917,198021
15184,USA,New York,Manhattan,10002,A,Clinton Street,E Broadway,Grand Street,103,1,11/22/2017,Mobilitie I,Installed,CITY,40.7147734,-73.987068,987835,199688
15183,USA,New York,Manhattan,10002,A,FDR Drive,Grand Street,Delancey Street,103,1,11/22/2017,Mobilitie I,Installed,CITY,40.7133749,-73.9776139,990456,199179
14614,USA,New York,Manhattan,10002,A,Madison St,Rutgers St,Jefferson St,103,1,5/1/2017,Crown Castle Fiber,Installed,CITY,40.7126327,-73.989478,987167,198908
13660,USA,New York,Manhattan,10002,A,CHERRY ST,CLINTON ST,JEFFERSON ST,103,1,10/7/2016,Extenet II,Installed,CITY,40.711455,-73.9868594,987893,198479
13316,USA,New York,Manhattan,10002,A,Bowery,Broome St,Grand St,103,1,9/22/2016,Crown Castle NG,Approved,CITY,40.7193083,-73.9943362,985820,201340
