Id,Reservation Date,Franchisee Name ,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Zipcode,Community Board,Council District
16662,11/28/2017,Extenet II,Approved,UTILITY,Brooklyn,985300.0,148344,40.5738459,-73.9962204,C,W 30th  St,Surf Ave,Mermaid Ave,11224,313,47
16661,11/28/2017,Extenet II,Approved,UTILITY,Brooklyn,984922.0,148813,40.5751332,-73.997581,C,Mermaid Ave,W 31st St,W 32nd St,11224,313,47
15541,11/02/2017,Crown Castle NG,Approved,UTILITY,Brooklyn,989275.0,148390,40.5739708,-73.9819118,C,W 15th St,Boardwalk,Bowery St,11224,313,47
15341,11/22/2017,Mobilitie I,Installed,CITY,Brooklyn,984551.0,149681,40.5775157,-73.9989164,C,Neptune Avenue,W 32nd Street,Bay View Avenue,11224,313,47
15231,10/24/2017,Extenet II,Installed,UTILITY,Brooklyn,988190.0,149137,40.5760217,-73.985817,C,W 19th ST,Mermaid Ave,Surf Ave,11224,313,47
13862,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,992120.0,150570,40.5799524,-73.9716682,C,W 5th St,Neptune Ave,West Ave,11224,313,47
13782,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,987265.0,148416,40.5740431,-73.9891471,C,Surf Ave,W 22nd St,W 23rd St,11224,313,47
13290,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,985216.0,148862,40.5752677,-73.9965227,C,Mermaid Ave,W 30th St,W 31st St,11224,313,47
13217,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,988269.0,148875,40.5753025,-73.9855327,C,W 19th St,Surf Ave,Mermaid Ave,11224,313,47
13211,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,984418.0,148228,40.5735275,-73.9993953,C,W 33rd St,Surf Ave,Mermaid Ave,11224,313,47
13208,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,984744.0,147915,40.5726684,-73.9982218,C,Surf Ave,W 32nd St,W 33rd St,11224,313,47
13207,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,985638.0,148027,40.5729757,-73.9950038,C,Surf Ave,W 29th St,W 30th St,11224,313,47
13204,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,989373.0,149334,40.5765618,-73.9815583,C,Stillwell Ave,Mermaid Ave,Surf Ave,11224,313,47
13156,08/26/2016,Mobilitie I,Installed,UTILITY,Brooklyn,984909.0,148976,40.5755806,-73.9976278,C,W 31st St,Mermaid Ave,Neptune Ave,11224,313,47
12081,07/08/2016,Mobilitie I,Installed,UTILITY,Brooklyn,986289.0,147822,40.5724129,-73.9926605,C,W. 27Th St,Surf Ave,Boardwalk W,11224,313,47
11385,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,992256.0,151163,40.5815799,-73.9711779,C,W 5th Street,West Ave,Neptune Ave,11224,313,47
11380,03/09/2016,Mobilitie I,Installed,CITY,Brooklyn,991378.0,151491,40.582481,-73.9743384,C,Shore Pkwy,W 6th St,West Ave,11224,313,47
22127,08/23/2019,Extenet II,Proposed,CITY,Brooklyn,991820.0,149329,40.5765463,-73.9727496,C,W 5th St,Brighton Ave,Sea Breeze Ave,11224,313,48
14042,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,992829.0,148916,40.5754118,-73.969118,C,Seabreeze Ave,Oceans Parkway,W 1st St,11224,313,48
13788,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,992299.0,149881,40.5780611,-73.9710247,C,W 2nd Pl,W 3rd St,W 2nd St,11224,313,48
13224,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,990803.0,148912,40.5754026,-73.976411,C,Surf Ave,W 8th St,W 5th St,11224,313,48
13205,09/09/2016,Crown Castle NG,Approved,CITY,Brooklyn,989939.0,149445,40.5768661,-73.9795207,C,W 12th St,Surf Ave,Neptune Ave,11224,313,48
22372,08/27/2019,Mobilitie II,Proposed,CITY,Brooklyn,996304.0,179094,40.6582401,-73.956555,B,Bedford Avenue,Fenimore Street,Hawthorne Street,11225,309,40
22344,08/27/2019,Mobilitie II,Proposed,CITY,Brooklyn,999350.0,181247,40.664145,-73.9455718,B,Empire Blvd,Brooklyn Avenue,New York Avenue,11225,309,40
22339,08/27/2019,Mobilitie II,Proposed,CITY,Brooklyn,995105.0,180138,40.6611072,-73.9608748,B,Flatbush Avenue,Lincoln Road,Lefferts Avenue,11225,309,40
22317,08/27/2019,Mobilitie II,Proposed,CITY,Brooklyn,998844.0,178590,40.6568529,-73.9474015,B,New York Avenue,Winthrop Street,Parkside Avenue,11225,309,40
22118,08/23/2019,Extenet II,Approved,CITY,Brooklyn,994724.0,178902,40.6577151,-73.96225,B,Ocean Ave,Parkside Ave,Lincoln Rd,11225,309,40
21958,08/14/2019,Crown Castle Solutions,Approved,CITY,Brooklyn,998784.0,179301,40.6588046,-73.9476162,B,New York Ave,Fenimore St,Nostrand Ave,11225,309,40
20231,08/02/2018,Crown Castle NG,Proposed,UTILITY,Brooklyn,999495.0,180416,40.6618638,-73.9450511,B,E New York Ave,Brooklyn Ave,BROOKLYNton Ave,11225,309,40
20230,08/02/2018,Crown Castle NG,Approved,UTILITY,Brooklyn,998696.0,180119,40.6610499,-73.9479316,B,Maple St,New York Ave,Nostrand Ave,11225,309,40
18120,12/29/2017,Extenet II,Installed,CITY,Brooklyn,994611.0,179905,40.6604683,-73.9626557,B,Lincoln Rd,Ocean Ave,Parkside Dr,11225,309,40
17476,12/12/2017,Crown Castle NG,Approved,CITY,Brooklyn,997123.0,180497,40.6620899,-73.9536005,B,Rogers Ave,Lefferts Ave,Lincoln Rd,11225,309,40
17474,12/12/2017,Crown Castle NG,Approved,CITY,Brooklyn,994589.0,179965,40.660633,-73.9627349,B,Ocean Ave,Lincoln Rd,Empire Blvd,11225,309,40
17007,12/02/2017,Crown Castle Solutions,Approved,CITY,Brooklyn,994944.0,180293,40.6615329,-73.9614548,B,Flatbush Ave,Lefferts Ave,Lincoln Rd,11225,309,40
17004,12/02/2017,Crown Castle Solutions,Approved,CITY,Brooklyn,995187.0,180050,40.6608656,-73.9605794,B,Flatbush Ave,Lincoln Rd,Maple St,11225,309,40
16994,12/02/2017,Crown Castle Solutions,Approved,CITY,Brooklyn,997929.0,180570,40.662289,-73.9506952,B,Nostrand Ave,Lefferts Ave,Lincoln Rd,11225,309,40
16883,01/08/2018,Mobilitie II,Approved,CITY,Brooklyn,997228.0,178585,40.6568417,-73.9532257,B,Rogers Avenue,Winthrop Street,Parkside Avenue,11225,309,40
16804,01/08/2018,Mobilitie II,Approved,CITY,Brooklyn,995235.0,179262,40.6587026,-73.9604076,B,Flatbush Avenue,Rutland Road,Fenimore Street,11225,309,40
16786,01/08/2018,Mobilitie II,Installed,CITY,Brooklyn,996326.0,178843,40.6575511,-73.9564762,B,Bedford Avenue,Hawthorne Street,Fenimore Street,11225,309,40
16256,12/02/2017,Crown Castle Solutions,Approved,CITY,Brooklyn,998076.0,178710,40.6571835,-73.9501692,B,Nostrand Ave,Winthrop St,Hawthorne St,11225,309,40
13799,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,1000080.0,180737,40.6627438,-73.9429417,B,Kingston Ave,Lefferts Ave,E New York Ave,11225,309,40
13795,10/24/2016,Mobilitie II,Installed,CITY,Brooklyn,997845.0,180897,40.6631867,-73.9509973,B,Nostrand Ave,Sterling St,Empire Blvd,11225,309,40
12629,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,995305.0,178755,40.6573109,-73.9601562,B,Flatbush Ave,Hawthorne St,Fenimore St,11225,309,40
12495,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,995284.0,180916,40.6632424,-73.9602283,B,Empire Blvd,McKeever Pl,Franklin Ave,11225,309,40
12201,08/10/2016,Mobilitie I,Installed,CITY,Brooklyn,997140.0,180280,40.6614942,-73.9535397,B,Rodgers Ave,Lincoln Rd,Lefferts Ave,11225,309,40
8265,01/20/2011,Crown Castle NG,Installed,UTILITY,Brooklyn,999371.0,180467,40.662004,-73.9454979,B,Brooklyn Ave,E New York Ave,Lefferts Ave,11225,309,40
8264,01/20/2011,Crown Castle NG,Installed,UTILITY,Brooklyn,998706.0,179855,40.6603253,-73.9478961,B,New York Ave,Midwood St,Nostrand Ave,11225,309,40
22343,08/27/2019,Mobilitie II,Proposed,CITY,Brooklyn,996495.0,182955,40.6688374,-73.9558596,B,Bedford Avenue,Union Street,Present Street,11225,309,35
21999,08/14/2019,Crown Castle Solutions,Approved,CITY,Brooklyn,995294.0,182088,40.6664593,-73.9601904,B,Montgomery St,Franklin Ave,Washington Ave,11225,309,35
18520,01/18/2018,ExteNet I,Installed,CITY,Brooklyn,996715.0,181759,40.6655544,-73.9550688,B,Montgomery St,Ludlam Pl,Stoddard Pl,11225,309,35
18477,01/18/2018,ExteNet I,Proposed,CITY,Brooklyn,994928.0,182134,40.666586,-73.9615096,B,Washington Ave,Montgomery St,Sullivan Pl,11225,309,35
17909,12/22/2017,Crown Castle Fiber,Approved,CITY,Brooklyn,997423.0,182694,40.6681197,-73.9525149,B,President St,Rogers Ave,Nostrand Ave,11225,309,35
17908,12/22/2017,Crown Castle Fiber,Installed,CITY,Brooklyn,998294.0,182305,40.6670507,-73.949376,B,Carroll St,Nostrand Ave,New York Ave,11225,309,35
