Id,Reservation Date,Franchisee Name ,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zone,On street,Cross street 1,Cross street 2,Park Advisory,Historic Landmark Advisory,Scenic Landmark Advisory,BID Advisory,School Advisory,Construction Completed? (Y/N),Zipcode,Community Board,Council District
12845,08/25/2016,Crown Castle Solutions,CITY,Manhattan,994008,215539,40.7582760,-73.9647770,A,E 56th St,2nd Ave,1st Ave,,,,,,Y,10022,106,5
12820,08/25/2016,Crown Castle Solutions,CITY,Manhattan,993647,215451,40.7580350,-73.9660810,A,2nd Ave,E 55th St,E 56th St,,,,,,Y,10022,106,5
12819,08/25/2016,Crown Castle Solutions,CITY,Manhattan,994368,215354,40.7577680,-73.9634780,A,1st Ave,E 56th St,E 57th St,,,,,,Y,10022,106,5
12818,08/25/2016,Crown Castle Solutions,CITY,Manhattan,995237,215443,40.7580110,-73.9603410,A,Sutton Pl,E 58th St,E 57th St,,,,,,Y,10022,106,5
10208,09/26/2014,Crown Castle NG,CITY,Manhattan,994680,215752,40.7588600,-73.9623510,A,1st Ave,E 58 St,E 57 St,,,,,,Y,10022,106,5
10207,09/26/2014,Crown Castle NG,CITY,Manhattan,995270,215489,40.7581370,-73.9602220,A,Sutton Pl,E 58 St,E 59 St,,,,,,Y,10022,106,5
10205,09/26/2014,Crown Castle NG,CITY,Manhattan,994407,215261,40.7575120,-73.9633380,A,1st Ave,E 56 St,E 55 St,,,,,,Y,10022,106,5
10204,09/26/2014,Crown Castle NG,CITY,Manhattan,994658,214878,40.7564610,-73.9624320,A,E 55 St,Sutton Pl,1st Ave,,,,,,Y,10022,106,5
10201,09/26/2014,Crown Castle NG,CITY,Manhattan,994120,214894,40.7565050,-73.9643740,A,1st Ave,E 54 St,E 55 St,,,,,,Y,10022,106,5
8358,02/25/2011,Crown Castle NG,CITY,Manhattan,993613,215400,40.7578950,-73.9662030,A,2nd Ave,E 55th St,E 54th St,,,,,,Y,10022,106,5
8354,02/25/2011,Crown Castle NG,CITY,Manhattan,995024,214918,40.7565700,-73.9611110,A,Sutton Place S,56th Street,55th Street,,,,,,Y,10022,106,5
7308,11/06/2009,Extenet II,CITY,Manhattan,995089,215200,40.7573440,-73.9608760,A,57th Street,Sutton Place,1st Avenue,,,,,,Y,10022,106,5
11440,03/09/2016,Mobilitie I,CITY,Bronx,1005553,235610,40.8133450,-73.9230410,C,3RD AVE,E 143 ST,E 142ND ST,,,,,,Y,10451,201,8
11439,03/09/2016,Mobilitie I,CITY,Bronx,1004590,234922,40.8114590,-73.9265220,C,THIRD AVE,E139th Street,MORRIS AVE,GREENSTREET,,,,,Y,10451,201,8
11437,03/09/2016,Mobilitie I,CITY,Bronx,1003012,235048,40.8118080,-73.9322220,C,EXTERIOR ST,PARK AVE.,MADISON AVE,,,,,,Y,10451,201,8
11292,12/15/2015,ZenFi,CITY,Bronx,1003526,235654,40.8134710,-73.9303630,C,138th ST,Walton Ave,Grand Concourse,,,,,,N,10451,201,8
4940,04/04/2008,Crown Castle NG,UTILITY,Bronx,1003744,234595,40.8105630,-73.9295790,C,Rider Ave,E 136th St,E 137th St,,,,,,Y,10451,201,8
4649,04/04/2008,Crown Castle NG,UTILITY,Bronx,1004815,236173,40.8148920,-73.9257050,C,Rider Ave,E 142nd St,E 141st St,,,,,,Y,10451,201,8
4345,04/10/2008,Crown Castle NG,CITY,Bronx,1003462,236476,40.8157270,-73.9305920,C,Gerard Ave,Exterior St,E 140th St,,,,,,Y,10451,201,8
4331,04/10/2008,Crown Castle NG,CITY,Bronx,1004562,235127,40.8120220,-73.9266220,C,Morris Ave,E 139th St,E 140th St,,,,,,Y,10451,201,8
4329,04/10/2008,Crown Castle NG,CITY,Bronx,1004132,235807,40.8138890,-73.9281740,C,Park Ave,E 140th St,E 138th St,,,,,,Y,10451,201,8
12294,08/10/2016,Mobilitie I,CITY,Bronx,1011043,234383,40.8099620,-73.9032130,C,E 149th st,Buckner blvd,Austin pl,,,,,,Y,10455,201,8
11503,03/09/2016,Mobilitie I,CITY,Bronx,1009667,234421,40.8100710,-73.9081830,C,Wales Ave,E 145th St,E 144th St,,,,,,Y,10455,201,8
11502,03/09/2016,Mobilitie I,CITY,Bronx,1009298,235063,40.8118340,-73.9095140,C,Jackson Ave,E 147th St,E 149th St,,,,,,Y,10455,201,8
11501,03/09/2016,Mobilitie I,CITY,Bronx,1009765,234938,40.8114890,-73.9078270,C,Wales Ave,E 147th St,E 149th St,,,,,,Y,10455,201,8
5014,05/09/2008,Crown Castle NG,CITY,Bronx,1009291,235641,40.8134200,-73.9095370,C,E 149th St,Trinity Ave,Jackson Ave,,,,,,Y,10455,201,8
4937,04/04/2008,Crown Castle NG,UTILITY,Bronx,1007072,236295,40.8152210,-73.9175510,C,Bergen Ave,E 148th St,E 149th St,,,,,,Y,10455,201,8
4934,04/04/2008,Crown Castle NG,UTILITY,Bronx,1009754,234895,40.8113710,-73.9078670,C,Wales Ave,E 147th St,E 145th St,,,,,,Y,10455,201,8
4881,04/04/2008,Crown Castle NG,UTILITY,Bronx,1010772,235634,40.8133970,-73.9041870,C,Prospect Ave,E 150th St,E 151st St,,,,,,Y,10455,201,8
4826,04/04/2008,Crown Castle NG,UTILITY,Bronx,1010943,234910,40.8114090,-73.9035720,C,Timpson Pl,E 149th St,E 147th St,,,,,,Y,10455,201,8
4642,04/04/2008,Crown Castle NG,UTILITY,Bronx,1009837,236204,40.8149640,-73.9075620,C,E 151st St,Concord Ave,Jackson Ave,,,,,,Y,10455,201,8
4341,04/10/2008,Crown Castle NG,CITY,Bronx,1006473,235712,40.8136230,-73.9197170,C,Willis Ave,E 145th St,E 146th St,,,,,,Y,10455,201,8
11438,03/09/2016,Mobilitie I,CITY,Bronx,1004854,234131,40.8092870,-73.9255710,C,ALEXANDER AVE,E 137TH ST,E 136TH ST,,,,,,Y,10454,201,8
11436,03/09/2016,Mobilitie I,CITY,Bronx,1004875,232904,40.8059200,-73.9254990,C,BRUCKNER BLVD,WILLIS AVE,ALEXANDER AVE,,,,,,Y,10454,201,8
11435,03/09/2016,Mobilitie I,CITY,Bronx,1004605,233423,40.8073450,-73.9264720,C,E 134TH ST,ALEXANDER AVE,BRUCKNER BLVD,,,,,,Y,10454,201,8
11290,12/15/2015,ZenFi,CITY,Bronx,1003810,233581,40.8077800,-73.9293440,C,Bruckner Blvd,Lincoln Ave,Alexander Ave,,,,,,Y,10454,201,8
8620,11/22/2011,Crown Castle NG,CITY,Bronx,1009327,234164,40.8093660,-73.9094120,C,Concord Ave,E 144th St,St Marys St,,,,,,Y,10454,201,8
